Word,Rank,Frequency
the,1,1893
I,2,1417
and,3,1391
to,4,1257
of,5,1227
you,6,1005
a,7,903
my,8,793
in,9,736
is,10,700
not,11,690
d,12,662
it,13,658
And,14,645
that,15,615
his,16,545
me,17,525
your,18,480
with,19,477
this,20,452
him,21,433
be,22,432
haue,23,406
for,24,369
he,25,365
Ham,26,337
The,27,327
so,28,324
will,29,322
s,30,301
our,31,300
as,32,297
Lord,33,293
That,34,289
but,35,274
are,36,272
on,37,260
shall,38,259
To,39,258
thou,40,256
all,41,252
do,42,245
What,43,239
we,44,237
But,45,236
King,46,231
Enter,47,225
what,48,219
by,49,209
no,50,207
Caesar,51,192
then,52,190
vs,53,183
was,54,176
thy,55,175
them,56,175
they,57,174
thee,58,174
from,59,173
at,60,171
know,61,169
good,62,165
For,63,164
Brutus,64,162
their,65,160
more,66,160
did,67,154
Bru,68,153
come,69,151
now,70,145
t,71,145
would,72,142
like,73,142
her,74,141
selfe,75,139
Macb,76,137
or,77,135
there,78,132
If,79,132
man,80,132
am,81,131
should,82,131
As,83,130
vpon,84,126
He,85,126
well,86,126
O,87,122
let,88,122
may,89,121
My,90,121
It,91,120
You,92,119
A,93,116
must,94,116
too,95,115
hath,96,115
say,97,113
if,98,111
st,99,110
th,100,108
Why,101,107
Cassi,102,107
which,103,106
Ile,104,106
an,105,105
most,106,105
yet,107,104
see,108,104
time,109,103
make,110,102
one,111,101
out,112,100
So,113,100
heere,114,100
speake,115,100
Hamlet,116,99
How,117,97
such,118,96
Let,119,95
Hor,120,95
This,121,94
vp,122,91
some,123,91
were,124,91
No,125,90
had,126,90
In,127,90
Sir,128,89
doe,129,89
Then,130,88
men,131,87
these,132,87
mine,133,86
Cassius,134,85
when,135,83
much,136,83
Which,137,81
loue,138,81
done,139,81
Come,140,81
With,141,80
Oh,142,80
heare,143,79
tell,144,79
day,145,78
go,146,75
Exeunt,147,75
Antony,148,75
When,149,75
Of,150,73
Who,151,73
againe,152,73
feare,153,73
thinke,154,73
