Organization Group,Department,Total Compensation
Culture & Recreation,Law Library,188424.36222222226
Public Protection,Fire Department,180788.0869790982
General Administration & Finance,City Attorney,166082.67756061684
Public Protection,Public Defender,147552.18573936517
Public Protection,Police,141263.70172872025
Public Protection,District Attorney,141215.3785571144
Public Protection,Sheriff,140381.59054187225
Public Protection,Department of Emergency Management,127421.75279331968
General Administration & Finance,Retirement System,117717.65858902574
"Public Works, Transportation & Commerce",Port,112139.68001718225
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.6151824817
General Administration & Finance,General Services Agency - Technology,110783.680158004
General Administration & Finance,Mayor,110765.3913327032
"Public Works, Transportation & Commerce",PUC Water Department,109806.58756692831
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.58978630723
Culture & Recreation,Academy of Sciences,107319.72769230767
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.40943204873
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.81533018878
General Administration & Finance,Controller,104515.23494400665
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.58550627176
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79394101881
Public Protection,Adult Probation,100179.75876692815
Human Welfare & Neighborhood Development,Child Support Services,100044.07099747477
"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.11182204491
Public Protection,Superior Court,99315.44936304331
General Administration & Finance,Ethics Commission,98631.38036585363
Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619047615
"Public Works, Transportation & Commerce",Airport Commission,96191.57823387011
Community Health,Public Health,96190.19013988487
Culture & Recreation,Arts Commission,94339.59738764046
General Administration & Finance,Assessor/Recorder,89994.26061397773
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68256691552
General Administration & Finance,City Planning,89022.8769657349
General Administration & Finance,General Services Agency - City Admin,86123.5476094114
General Administration & Finance,Treasurer/Tax Collector,85449.25317039725
General Administration & Finance,Board of Supervisors,78801.34764132547
Public Protection,Juvenile Probation,78586.8298231393
Culture & Recreation,War Memorial,76250.06802153435
Human Welfare & Neighborhood Development,Environment,75360.38745183885
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.9332835822
Culture & Recreation,Asian Art Museum,71401.52006042302
Culture & Recreation,Public Library,70446.35214706276
General Administration & Finance,Health Service System,70016.07113737096
General Administration & Finance,Human Resources,69729.72273740705
General Administration & Finance,Civil Service Commission,67966.75655913982
Human Welfare & Neighborhood Development,Human Services,65945.32768862949
Human Welfare & Neighborhood Development,Human Rights Commission,55672.50668269228
"Public Works, Transportation & Commerce",Board of Appeals,51990.63488888887
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52290322583
Culture & Recreation,Fine Arts Museum,44205.43989478499
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05653846154
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.130277777775
Culture & Recreation,Recreation and Park Commission,38912.85946523483
"Public Works, Transportation & Commerce",PUC Clean Power,30940.465000000004
General Administration & Finance,Elections,20493.166617519495
General City Responsibilities,General Fund Unallocated,15824.151304347828
