Awards,Awards_won,Awards_nominated,Prime_Awards_won,Prime_Awards_nominated,Oscar_Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_nominated,Golden_Globe_Awards_won,BAFTA_nominated,BAFTA_won,Total_Won_Awards,Total_Nominated_Awards
1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,1,2
1 win.,1,0,0,0,0,0,0,0,0,0,1,0
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0,3,2
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
5 nominations.,0,5,0,0,0,0,0,0,0,0,0,5
2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0,2,5
Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,13,0,0,1,0,0,0,0,0,13,14
5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0,5,4
Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,34,0,0,0,0,1,0,0,0,14,35
3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0,3,2
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
5 nominations.,0,5,0,0,0,0,0,0,0,0,0,5
1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,1,2
22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0,0,22,44
1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0,1,3
1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0,1,8
2 nominations.,0,2,0,0,0,0,0,0,0,0,0,2
6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0,6,1
Won 2 Golden Globes. Another 68 wins & 201 nominations.,68,201,0,0,0,0,0,2,0,0,70,201
Won 1 Golden Globe. Another 31 wins & 143 nominations.,31,143,0,0,0,0,0,1,0,0,32,143
Nominated for 4 Primetime Emmys. Another 16 nominations.,0,16,0,4,0,0,0,0,0,0,0,20
3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0,3,2
3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0,3,6
2 wins.,2,0,0,0,0,0,0,0,0,0,2,0
6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0,6,4
7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0,7,6
9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0,0,9,30
Won 1 Primetime Emmy. Another 1 win & 6 nominations.,1,6,1,0,0,0,0,0,0,0,2,6
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,39,0,0,0,0,0,0,3,0,11,42
6 nominations.,0,6,0,0,0,0,0,0,0,0,0,6
1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0,1,4
2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0,2,5
14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0,0,14,11
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,1,2
2 nominations.,0,2,0,0,0,0,0,0,0,0,0,2
3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0,3,3
Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,14,0,0,0,0,1,0,0,0,2,15
2 wins.,2,0,0,0,0,0,0,0,0,0,2,0
