MONTH,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Jan,7.7159999999999975,8.215,4.731,6.885,7.3169999999999975,5.287999999999999,9.21,5.176,5.89,4.9060000000000015,6.215,6.3649999999999975,6.202000000000001,5.210999999999999,7.542000000000002,7.105,7.555999999999999,6.9499999999999975,7.262,7.2269999999999985,7.667000000000002
Feb,9.704,9.042,8.523,8.652999999999999,8.097999999999999,7.557999999999999,9.62,8.193,9.401,6.1679999999999975,6.1979999999999995,10.872,9.78,6.972,6.779999999999999,10.907,9.572,8.375,6.763999999999999,7.401999999999999,8.692
Mar,9.047999999999998,9.806,8.776,9.87,11.592,8.562000000000001,12.358999999999998,9.749,11.255999999999998,11.384,11.084,7.605999999999999,10.922,12.005999999999998,11.985,9.934,11.228,12.579999999999998,10.033999999999999,9.068,10.534
Apr,12.920000000000002,13.928,11.665,10.433000000000002,12.039000000000001,14.818,12.947000000000001,15.41,13.266000000000002,15.806,14.865,11.824000000000002,15.266000000000002,13.203,13.574000000000002,11.964,14.121,13.389000000000001,11.235,11.013000000000002,14.629000000000001
May,14.883,16.914,16.767,16.547,18.755,16.529,17.022000000000002,17.775,16.129,16.68,15.985,14.668,19.602,17.246,16.621,15.079,17.337,20.068,13.306,16.042,17.993
Jun,18.926,23.041999999999998,19.238,19.925,20.285,22.421,21.88,21.72,20.4,20.999,20.928,19.088,20.762,20.212,21.701,19.195,21.522,20.416,18.711,20.004,22.485
Jul,24.121,24.124,22.831,22.28,24.953000000000007,25.064,22.788,21.768,25.237,24.048000000000002,24.677,24.058000000000003,23.348000000000006,22.427,24.678,23.528,25.639,23.411,24.455,23.032,23.143
Aug,22.896,24.309,23.352,23.311,23.857,22.828000000000007,24.436,23.5,23.635,22.34,23.208,22.897,24.536,22.951999999999998,24.353,23.912,24.831,23.932,25.137,22.643,23.915
Sep,20.296000000000006,21.278000000000002,19.610000000000007,21.677,22.268,18.136000000000006,17.596000000000004,21.011000000000006,20.651,20.052000000000003,21.087,22.077,21.449,20.790000000000006,21.016,21.72600000000001,20.231,21.613000000000003,20.737,21.42,20.662000000000006
Oct,16.25,13.752,14.626,16.298000000000002,13.432,14.879,15.032,17.637,17.834,14.874,16.455,17.701999999999995,16.929000000000002,16.267,14.709,16.588,15.067,14.945,14.273,17.456,14.544
Nov,10.835,11.220999999999998,8.399000000000001,9.81,8.905,7.891999999999999,11.048,9.905,10.075,10.969,10.061,10.923,9.836,9.414,6.296,13.183,10.725999999999999,10.97,9.459,11.762,7.9220000000000015
Dec,8.356,8.193000000000001,5.908,7.3660000000000005,4.8889999999999985,6.2010000000000005,6.615,5.034000000000002,5.855,7.033,3.5680000000000005,6.61,4.691000000000002,6.1850000000000005,5.5630000000000015,8.005,7.519,5.7570000000000014,5.4940000000000015,7.354,8.046
